组别,姓名,性别,出生年,出身月,出生地,出生地（经度）,出生地（纬度）,籍贯,籍贯（精度）,籍贯（纬度）,毕业学校,毕业学校（经度）,毕业学校（纬度）,专业,毕业时间,当选时间,获得称谓的单位
1.0,龚新高,男,1962,6,湖南,113.08081,28.24615,湖南,112.938814,28.228209,湖南师范学院物理学系大学,,,计算凝聚态物理,1982,2017.0,
1.0,郭柏灵,男,1936,10,福建,117.017536,25.075123,,,,复旦大学,,,数学,1958,2001.0,北京应用物理与计算数学学研究所
1.0,郭尚平,男,1930,3,四川,104.417388,29.44541,四川,105.287612,29.339476,重庆大学,,,流体力学,1951,1995.0,中国石油勘探开发研究院和渗流流体力学学研究所
1.0,韩占文,男,1965,10,河北,115.13547,38.837487,河北,115.13547,38.837487,河北大学,,,天体物理,1984,2017.0,中国科学院云南天文台
1.0,何国威,男,1963,3,上海,121.473701,31.230416,湖北,112.255583,30.311056,西北工业大学,,,流体力学,1983,,中国科学院力学学研究所
1.0,何祚庥,男,1927,8,上海,121.473701,31.230416,安徽,116.694183,30.124428,清华大学,,,粒子物理、理论物理,1951,1980.0,中国科学院理论物理研究所
1.0,贺贤土,男,1937,9,浙江,121.71654,29.948998,,,,浙江大学,,,理论物理,1962,1995.0,北京应用物理与计算数学学研究所
1.0,洪朝生,男,1920,10,北京,116.407526,39.90403,,,,清华大学,,,物理,1940,1980.0,中国科学院理化学技术研究所
1.0,洪家兴,男,1942,11,上海,121.473701,31.230416,江苏,118.763232,32.061707,复旦大学,,,数学,1965,2003.0,
1.0,胡和生,男,1928,6,上海,121.473701,31.230416,江苏,118.796877,32.060255,,,,数学,1950,1991.0,
1.0,胡仁宇,男,1931,7,上海,121.473701,31.230416,浙江,118.626974,28.737223,清华大学,,,物理,1952,1991.0,中国工程物理研究院
1.0,霍裕平,男,1937,8,湖北,114.872316,30.453905,,,,北京大学,,,物理,1959,1993.0,
1.0,江松,男,1963,1,四川,104.075931,30.651651,四川,107.104008,31.560874,四川大学,,,应用数学,1982,2015.0,北京应用物理与计算数学学研究所
1.0,姜伯驹,男,1937,9,天津,117.200983,39.084158,浙江,120.425766,27.51828,北京大学,,,数学,1957,1980.0,
1.0,解思深,男,1942,2,山东,120.382639,36.067082,,,,北京大学,,,物理,1965,2003.0,中国科学院物理研究所
1.0,景益鹏,男,1964,1,浙江,120.580232,30.029752,浙江,121.266579,30.169665,浙江大学,,,天体物理,1984,2015.0,
1.0,邝宇平,男,1932,11,北京,116.407526,39.90403,广东,112.794065,22.251924,北京大学,,,理论物理,1955,2003.0,
1.0,李安民,男,1946,9,重庆,106.551556,29.563009,四川,107.204744,30.736266,北京大学,,,数学,1969,2009.0,
1.0,李邦河,男,1942,7,浙江,120.967147,28.116083,,,,中国科学技术大学,,,数学,1965,2001.0,中国科学院数学学与系统科学研究院
1.0,李大潜,男,1937,11,江苏,120.894291,31.980171,,,,复旦大学,,,数学,1957,1995.0,
1.0,李德平,男,1926,11,北京,116.407526,39.90403,江苏,119.852541,32.910459,清华大学,,,辐射物理、辐射防护及安全,1948,1991.0,中国辐射防护研究院
1.0,李方华,男,1932,1,香港,114.173355,22.320047,广东,111.785937,23.143722,苏联列宁格勒大学,,,物理,1956,1993.0,中国科学院物理研究所
1.0,李家春,男,1940,7,上海,121.473701,31.230416,,,,复旦大学,,,力学,1962,2003.0,中国科学院力学学研究所
1.0,李家明,男,1945,11,云南,102.832891,24.880095,,,,台湾大学,,,物理,1968,1991.0,
1.0,李儒新,男,1969,10,福建,118.304988,27.022727,福建,118.304988,27.022727,天津大学,,,光学,1990,2017.0,中国科学院上海光学精密机械研究所
1.0,李惕碚,男,1939,6,重庆,106.395612,29.805108,湖南,113.345309,27.000227,清华大学,,,高能天体物理,1963,1997.0,中国科学院高能物理研究所
1.0,励建书,男,1959,11,浙江,120.15507,30.274084,浙江,120.264253,30.183806,浙江大学,,,数学,1981,2013.0,
1.0,林群,男,1935,7,福建,119.539704,26.197364,,,,厦门大学,,,数学,1956,1993.0,中国科学院数学学与系统科学研究院
1.0,龙以明,男,1948,10,重庆,106.551556,29.563009,,,,天津师范学院（现天津师范大学,,,数学,1973,2007.0,
1.0,罗俊,男,1956,11,湖北,114.341861,30.546498,湖北,114.341861,30.546498,华中工学院物理化学学系大学,,,引力学物理,1982,,
1.0,罗民兴,男,1963,6,浙江,120.086823,30.894348,,,,浙江大学,,,理论物理,1983,2015.0,
1.0,吕敏,男,1931,4,江苏,119.606536,32.010117,,,,浙江大学,,,核物理,1952,1991.0,解放军总装备部武器装备论证研究中心
1.0,马余刚,男,1968,3,浙江,121.154634,30.037192,浙江,121.429477,29.287939,浙江大学,,,核物理,1989,2017.0,中国科学院上海应用物理研究所
1.0,马志明,男,1948,1,四川,104.066541,30.572269,山西,112.155841,37.55197,重庆师范学院数学学系大学,,,数学,1978,1995.0,中国科学院数学学与系统科学研究院应用数学学研究所
1.0,闵乃本,男,1935,8,江苏,120.574946,32.370557,,,,南京大学,,,物理,1959,1991.0,
1.0,莫毅明,男,1956,5,香港,114.173355,22.320047,广东,113.751765,23.020536,,,,数学,,2015.0,
1.0,欧阳颀,男,1955,7,江苏,118.796877,32.060255,安徽,119.004817,32.667571,清华大学,,,非线性科学与生物物理,1982,2015.0,
1.0,欧阳钟灿,男,1946,1,福建,118.675675,24.874132,,,,清华大学,,,理论物理,1968,1997.0,中国科学院理论物理研究所
1.0,潘建伟,男,1970,3,浙江,120.241566,29.289648,,,,中国科学技术大学,,,物理,1992,2011.0,
1.0,彭实戈,男,1947,12,山东,117.020359,36.66853,广东,115.323436,22.966586,山东大学,,,数学,1974,2005.0,
1.0,曲钦岳,男,1935,5,山东,121.447935,37.463822,山东,121.600512,37.386901,南京大学,,,天体物理,1957,1980.0,
1.0,沈文庆,男,1945,8,上海,121.473701,31.230416,,,,清华大学,,,实验核物理,1967,1999.0,中国科学院上海应用物理研究所
1.0,沈学础,男,1938,2,江苏,119.484211,31.416911,,,,复旦大学,,,物理,1958,1995.0,中国科学院上海技术物理研究所
1.0,石钟慈,男,1933,12,浙江,121.550357,29.874556,,,,复旦大学,,,数学,1955,1991.0,中国科学院数学学与系统科学研究院
1.0,苏定强,男,1936,6,上海,121.473701,31.230416,江苏,119.942437,31.701188,南京大学,,,天文,1959,1991.0,
1.0,苏肇冰,男,1937,6,江苏,120.585315,31.298886,,,,北京大学,,,物理,1958,1991.0,中国科学院理论物理研究所
1.0,孙昌璞,男,1962,7,辽宁,123.42944,41.835441,,,,东北师范大学,,,理论物理,1984,2009.0,
1.0,孙鑫,男,1938,7,江苏,119.412966,32.39421,,,,复旦大学,,,凝聚态物理,1960,2013.0,
1.0,孙义燧,男,1936,12,南京,118.796877,32.060255,浙江,120.655148,27.778657,南京大学,,,天体力学,1958,1997.0,
1.0,汤定元,男,1920,5,江苏,119.597897,31.723247,,,,重庆中央大学,,,物理,1942,1991.0,中国科学院上海技术物理研究所
1.0,汤涛,男,1963,5,安徽,116.948623,31.462027,,,,北京大学,,,计算数学,1984,2017.0,
1.0,唐孝威,男,1931,10,江苏,120.31191,31.491169,,,,清华大学,,,原子核物理及高能物理,1952,1980.0,曾任中国科学院高能物理研究所
1.0,陶瑞宝,男,1937,3,上海,121.473701,31.230416,,,,复旦大学,,,理论物理,1960,2003.0,
1.0,田刚,男,1958,11,江苏,118.796877,32.060255,,,,南京大学,,,数学,1982,2001.0,
1.0,童秉纲,男,1927,9,江苏,120.5532,31.870405,,,,南京大学,,,流体力学,1950,1997.0,
1.0,万哲先,男,1927,11,山东,117.966723,36.643452,湖北,114.341861,30.546498,清华大学,,,数学,1948,1991.0,中国科学院数学学与系统科学研究院
1.0,汪承灏,男,1938,1,江苏,118.796877,32.060255,,,,北京大学,,,物理,1958,2001.0,中国科学院声学研究所
1.0,汪景琇,男,1944,5,辽宁,123.957208,41.880872,,,,北京大学,,,太阳物理,1969,2013.0,中国科学院国家天文台
1.0,王鼎盛,男,1940,10,重庆,107.099266,29.157891,,,,北京大学,,,物理,1962,2005.0,中国科学院物理研究所
1.0,王恩哥,男,1957,1,辽宁,123.431474,41.805698,上海,121.473701,31.230416,辽宁大学,,,物理,1982,2007.0,
1.0,王广厚,男,1939,11,安徽,117.157981,31.70681,,,,北京师范大学,,,原子分子与团簇物理,1963,2011.0,
1.0,王乃彦,男,1935,11,福建,119.296494,26.074507,,,,北京大学,,,核物理,1956,1993.0,中国原子能科学研究院
1.0,王诗宬,男,1953,1,江苏,120.163561,33.347382,,,,,,,数学,,2005.0,
1.0,王世绩,男,1932,9,上海,121.473701,31.230416,,,,北京大学,,,物理,1956,1999.0,上海激光等离子体研究所
1.0,王绶琯,男,1923,1,福建,119.296494,26.074507,,,,马尾海军学校大学,,,天文,1943,1980.0,中国科学院国家天文台
1.0,王小云,男,1966,8,山东,119.410103,35.995654,山东,119.410103,35.995654,山东大学,,,密码,1987,2017.0,
1.0,王迅,男,1934,4,上海,121.473701,31.230416,江苏,120.31191,31.491169,复旦大学,,,物理,1956,1999.0,
1.0,王业宁,男,1926,10,安徽,117.063754,30.543494,,,,中央大学,,,物理,1949,1991.0,
1.0,王贻芳,男,1963,2,江苏,118.796877,32.060255,江苏,120.894291,31.980171,南京大学,,,实验高能物理,1984,2015.0,中国科学院高能物理研究所
1.0,王元,男,1930,4,浙江,119.460526,29.208919,江苏,119.425836,32.187849,浙江大学,,,数学,1952,1980.0,中国科学院数学学与系统科学研究院
1.0,王梓坤,男,1929,4,湖南,111.631109,26.221936,江西,114.992509,27.113443,武汉大学,,,数学,1952,1991.0,
1.0,魏宝文,男,1935,11,河南,113.488478,34.140701,,,,北京大学,,,核物理,1957,1995.0,中国科学院近代物理研究所
1.0,文兰,男,1946,3,甘肃,103.834303,36.061089,安徽,118.419864,30.688578,北京大学,,,数学,1970,1999.0,
1.0,吴岳良,男,1962,2,江苏,119.823308,31.340637,江苏,119.823308,31.340637,南京大学,,,理论物理,1982,2007.0,中国科学院理论物理研究所
1.0,武向平,男,1961,1,陕西,109.840373,35.584467,山东,118.627918,35.79045,西北电讯工程学院大学,,,天体物理,1982,2011.0,中国科学院国家天文台
1.0,席南华,男,1963,3,广东,113.402376,24.205024,湖南,112.090357,26.799896,湖南怀化学师范专科学校（现怀化学学院）数学学科大学,,,数学,1981,2009.0,中国科学院数学学与系统科学研究院
1.0,夏道行,男,1930,10,江苏,119.923116,32.455778,,,,山东大学,,,数学,1950,1980.0,
1.0,向涛,男,1963,4,湖北,110.746805,31.348196,,,,清华大学,,,物理,1984,2013.0,中国科学院物理研究所
1.0,谢心澄,男,1959,2,江苏,118.796877,32.060255,江苏,119.973987,31.810689,中国科学技术大学,,,凝聚态物理,1982,2015.0,
1.0,邢定钰,男,1945,2,上海,121.473701,31.230416,江苏,118.796877,32.060255,南京大学,,,物理,1967,,
1.0,熊大闰,男,1938,9,江西,114.992509,27.113443,江西,115.858197,28.682892,北京大学,,,天文,1962,1991.0,中国科学院紫金山天文台
1.0,徐红星,男,1969,5,江苏,119.239381,34.284381,,,,北京大学,,,物理,1992,2017.0,
1.0,徐叙瑢,男,1922,4,山东,118.356448,35.104672,,,,西南联合大学,,,发光,1945,1980.0,
1.0,徐至展,男,1938,12,江苏,119.973987,31.810689,,,,复旦大学,,,物理,1962,1991.0,中国科学院上海光学精密机械研究所
1.0,严加安,男,1941,12,江苏,119.398015,32.377528,江苏,119.412966,32.39421,中国科学技术大学,,,数学,1964,1999.0,中国科学院数学学与系统科学研究院应用数学学研究所
1.0,杨福家,男,1936,6,上海,121.473701,31.230416,浙江,121.71654,29.948998,复旦大学,,,核物理,1958,1991.0,
1.0,杨国桢,男,1938,3,湖南,112.944049,27.829738,江苏,120.31191,31.491169,北京大学,,,光物理,1962,1999.0,中国科学院物理研究所
1.0,杨乐,男,1939,11,江苏,120.894291,31.980171,,,,北京大学,,,数学,1962,1980.0,中国科学院数学学与系统科学研究院
1.0,杨应昌,男,1934,5,北京,116.407526,39.90403,,,,北京大学,,,物理,1958,1997.0,
1.0,杨振宁,男,1922,9,安徽,117.227239,31.820586,,,,,,,物理,,,
1.0,叶朝辉,男,1942,3,四川,104.546774,30.410755,,,,北京大学,,,物理,1965,2001.0,中国科学院武汉物理与数学学研究所
1.0,叶叔华,男,1927,6,广东,113.264434,23.129162,广东,113.293359,22.80524,中山大学,,,天文,1949,1980.0,中国科学院上海天文台
1.0,于渌,男,1937,8,江苏,119.425836,32.187849,,,,苏联国立哈尔科夫大学,,,理论物理,1961,1999.0,中国科学院理论物理研究所
1.0,于敏,男,1926,8,河北,114.468664,38.037057,天津,117.200983,39.084158,北京大学,,,核物理,1949,1980.0,中国工程物理研究院
1.0,袁亚湘,男,1960,1,湖南,113.236146,25.976243,,,,湘潭大学,,,数学,1981,2011.0,中国科学院数学学与系统科学研究院
1.0,詹文龙,男,1955,10,福建,118.089425,24.479833,,,,兰州大学,,,核物理,1982,2005.0,中国科学院近代物理研究所
1.0,张殿琳,男,1934,11,陕西,108.940509,34.617382,陕西,108.954239,34.265472,西北大学,,,物理,1956,2001.0,中国科学院物理研究所
1.0,张恭庆,男,1936,5,上海,121.473701,31.230416,,,,北京大学,,,数学,1959,1991.0,
1.0,张涵信,男,1936,1,江苏,116.937532,34.721656,,,,清华大学,,,力学,1958,1991.0,中国空气动力学研究与发展中心
1.0,张焕乔,男,1933,12,重庆,106.551556,29.563009,,,,北京大学,,,核物理,1956,1997.0,中国原子能科学研究院
1.0,张杰,男,1958,1,山西,112.548879,37.87059,河北,114.504844,37.070589,,,,物理,,2003.0,曾任中科院物理所
1.0,张平文,男,1966,7,湖南,113.08081,28.24615,,,,北京大学,,,计算数学,1988,2015.0,
1.0,张仁和,男,1936,11,重庆,106.551556,29.563009,,,,北京大学,,,声,1958,1991.0,中国科学院声学研究所
1.0,张淑仪,男,1935,12,浙江,120.699366,27.994267,,,,南京大学,,,声,1956,1991.0,
1.0,张维岩,男,1956,3,北京,116.407526,39.90403,,,,北京大学,,,等离子体物理,1982,2011.0,中国工程物理研究院
1.0,张伟平,男,1964,3,上海,121.473701,31.230416,山东,119.942327,37.177017,复旦大学,,,数学,1985,2007.0,南开大学陈省身数学学研究所
1.0,张裕恒,男,1938,3,江苏,118.275198,33.963232,,,,南京大学,,,物理,1961,2005.0,
1.0,张肇西,男,1940,7,广西,108.327546,22.815478,河北,118.180193,39.630867,中国科学技术大学,,,粒子物理,1963,2011.0,中国科学院理论物理研究所
1.0,张宗烨,男,1935,1,北京,116.407526,39.90403,浙江,120.15507,30.274084,北京大学,,,核理论物理,1956,1999.0,中国科学院高能物理研究所
1.0,章综,男,1929,5,江苏,119.823308,31.340637,,,,南京大学,,,物理,1952,1980.0,中国科学院物理研究所
1.0,赵光达,男,1939,10,陕西,108.940174,34.341568,,,,北京大学,,,理论物理,1963,2001.0,
1.0,赵政国,男,1956,12,湖南,112.98381,28.112444,湖南,111.744258,27.258942,中国科学技术大学,,,实验粒子物理,1982,2013.0,
1.0,赵忠贤,男,1941,1,辽宁,122.836726,41.985193,,,,中国科学技术大学,,,物理,1964,1991.0,中国科学院物理研究所
1.0,郑厚植,男,1942,8,籍贯,119.973987,31.810689,江苏,119.973987,31.810689,清华大学,,,物理,1965,1995.0,中国科学院半导体研究所
1.0,郑晓静,女,1958,5,湖北,114.305392,30.593098,浙江,120.967147,28.116083,华中科技大学,,,力学,1982,,
1.0,周光召,男,1929,5,湖南,112.938814,28.228209,,,,清华大学,,,理论物理、粒子物理,1951,1980.0,中国科学院
1.0,周恒,男,1929,11,上海,121.473701,31.230416,福建,118.541256,27.917263,北洋大学,,,流体力学,1950,1993.0,
1.0,周向宇,男,1965,3,湖南,113.014717,25.770509,湖南,110.575846,27.060321,湘潭大学,,,数学,1985,2013.0,中国科学院数学学与系统科学研究院
1.0,周又元,男,1938,7,上海,121.473701,31.230416,江苏,118.796877,32.060255,北京大学,,,天体物理,1960,2001.0,中国科学院国家天文台
1.0,周毓麟,男,1923,2,上海,121.473701,31.230416,浙江,121.71654,29.948998,上海大学,,,数学,1945,1991.0,北京应用物理与计算数学学研究所
1.0,朱邦芬,男,1948,1,上海,121.473701,31.230416,江苏,119.823308,31.340637,清华大学,,,凝聚态物理,1970,2003.0,
1.0,朱诗尧,男,1945,12,上海,121.459384,31.247105,江苏,119.425836,32.187849,华东师范大学,,,量子光学,1968,2015.0,
1.0,邹广田,男,1938,7,吉林,125.323544,43.817071,吉林,125.32599,43.896536,吉林大学,,,物理,1962,2001.0,
1.0,安立佳,男,1964,11,吉林,125.32599,43.896536,山东,116.470304,35.937102,吉林大学,,,高分子物理,1986,,
1.0,白春礼,男,1953,9,辽宁,124.354706,40.000499,,,,,,,化学,,1997.0,
1.0,包信和,男,1959,8,江苏,119.797635,32.234831,江苏,119.797635,32.234831,复旦大学,,,物理化学,1982,2009.0,
1.0,曹镛,男,1941,10,湖南,112.938814,28.228209,,,,苏联列宁格勒大学,,,高分子化学,1965,2001.0,曾任中国科学院化学学研究所
1.0,查全性,男,1925,4,江苏,118.796877,32.060255,安徽,118.419864,30.688578,武汉大学,,,电化学,1950,1980.0,
1.0,柴之芳,男,1942,9,上海,121.473701,31.230416,浙江,120.152791,30.267446,复旦大学,,,放射化学,1964,2007.0,中国科学院高能物理研究所
1.0,陈洪渊,男,1937,12,浙江,121.395777,29.104873,,,,南京大学,,,分析化学,1961,2001.0,
1.0,陈家镛,男,1922,2,四川,104.412005,30.862017,,,,中央大学,,,化学学工程,1943,1980.0,中国科学院过程工程研究所
1.0,陈军,男,1967,9,安徽,116.129105,30.153746,,,,南开大学,,,无机化学,1989,2017.0,
1.0,陈俊武,男,1927,3,北京,116.407526,39.90403,福建,119.523266,25.962888,北京大学,,,石油炼制工程,1948,1991.0,
1.0,陈凯先,男,1945,8,重庆,106.551556,29.563009,江苏,118.796877,32.060255,复旦大学,,,药物化学,1967,1999.0,中国科学院上海药物研究所
1.0,陈庆云,男,1929,1,湖南,112.355954,28.847045,湖南,112.535028,27.73412,北京大学,,,有机化学,1952,1993.0,中国科学院上海有机化学学研究所
1.0,陈小明,男,1961,10,广东,116.372831,23.549993,广东,116.372831,23.549993,中山大学,,,无机化学,1983,2009.0,
1.0,陈新滋,男,1950,10,广东,112.794065,22.251924,,,,日本东京国际基督教大学,,,有机化学,1975,2001.0,
1.0,陈懿,男,1933,4,福建,119.296494,26.074507,,,,南京大学,,,物理化学,1955,2005.0,
1.0,程津培,男,1948,6,天津,117.200983,39.084158,江苏,119.239381,34.284381,天津师范学院大学,,,有机化学,1975,2001.0,
1.0,程镕时,男,1927,10,江苏,119.823308,31.340637,,,,金陵大学,,,高分子物理及物理化学,1949,1991.0,
1.0,戴立信,男,1924,11,北京,116.407526,39.90403,,,,浙江大学,,,有机化学,1947,1993.0,中国科学院上海有机化学学研究所
1.0,丁奎岭,男,1966,3,河南,116.4495,33.929291,河南,116.4495,33.929291,郑州大学,,,有机化学,1985,,中国科学院上海有机化学学研究所
1.0,段雪,男,1957,1,北京,116.407526,39.90403,北京,116.407526,39.90403,吉林大学,,,应用化学,1982,2007.0,北京化学工大学应用化学学系
1.0,方维海,男,1955,12,安徽,117.698563,32.530982,安徽,117.698563,32.530982,阜阳师范学院化学学系大学,,,物理化学,1982,,
1.0,费维扬,男,1939,7,上海,121.473701,31.230416,,,,清华大学,,,化学,1963,,
1.0,冯守华,男,2052,,吉林,126.060427,42.946285,,,,吉林大学,,,无机化学,1978,2005.0,
1.0,冯小明,男,1963,10,四川,106.295764,30.348772,四川,106.295764,30.348772,兰州大学,,,有机化学,1985,,
1.0,高松,男,1964,2,安徽,117.910629,33.482982,安徽,117.910629,33.482982,北京大学,,,无机化学,1985,2007.0,
1.0,郭景坤,男,1933,11,上海,121.473701,31.230416,广东,113.034187,22.4583,复旦大学,,,材料科,1958,1991.0,中国科学院上海硅酸盐研究所
1.0,郭子建,男,1961,10,河北,116.099518,38.446624,,,,河北农业大学,,,化学学生物,1982,2017.0,
1.0,韩布兴,男,1957,7,河北,117.965892,40.189202,河北,117.965892,40.189202,河北科技大学,,,物理化学,1982,,中国科学院化学学研究所
1.0,何国钟,男,1933,5,广东,113.143441,23.028956,,,,北京石油学院石油化学工机械系大学,,,物理化学,1955,1991.0,中国科学院大连化学学物理研究所
1.0,何鸣元,男,1940,2,上海,121.473701,31.230416,江苏,120.585315,31.298886,华东纺织工学院应用化学学专业大学,,,石油化学工,1961,1995.0,
1.0,洪茂椿,男,1953,9,福建,119.007777,25.454084,,,,福州大学,,,无机化学,1978,2003.0,中国科学院海西研究院
1.0,侯建国,男,1959,10,福建,119.790168,25.49872,福建,119.384334,25.721143,,,,化学,,2003.0,
1.0,胡英,男,1934,6,上海,121.473701,31.230416,湖北,115.681259,30.734959,华东化学工学院化学工机械系大学,,,化学学工程学、物理化学,1953,1993.0,
1.0,黄本立,男,1925,9,香港,114.173355,22.320047,广东,113.034187,22.4583,,,,光谱化学,,1993.0,
1.0,黄春辉,男,1933,5,河北,114.504844,37.070589,江西,114.992509,27.113443,北京大学,,,无机化学,1955,2001.0,
1.0,黄乃正,男,1950,11,香港,114.173355,22.320047,广东,112.794065,22.251924,香港中文大学,,,有机化学,1973,1999.0,
1.0,计亮年,男,1934,4,上海,121.473701,31.230416,浙江,120.152791,30.267446,山东大学,,,生物无机化学,1956,2003.0,
1.0,江桂斌,男,1957,11,山东,120.711673,36.978941,山东,120.711673,36.978941,山东大学,,,分析化学学、环境化学,1982,2009.0,中国科学院生态环境研究中心
1.0,江雷,男,1965,3,吉林,125.323544,43.817071,江苏,119.425836,32.187849,吉林大学,,,无机化学,1987,2009.0,中国科学院理化学技术研究所
1.0,江龙,男,1933,1,上海,121.473701,31.230416,福建,118.304988,27.022727,南京大学,,,物理化学,1953,2001.0,中国科学院化学学研究所
1.0,江明,男,1938,,江苏,119.412966,32.39421,,,,复旦大学,,,高分子化学,1960,2005.0,
1.0,黎乐民,男,1935,12,广东,111.013556,21.514164,,,,,,,物理无机化学,,1991.0,
1.0,李灿,男,1960,1,甘肃,101.984649,38.24317,,,,张掖师专化学学系大学,,,物理化学,1983,2003.0,中国科学院大连化学学物理研究所
1.0,李洪钟,男,1941,,山西,113.706875,37.61121,,,,太原理工大学,,,化学学工程,1965,2005.0,中国科学院过程工程研究所
1.0,李静海,男,1956,10,山西,111.93944,38.359036,,,,哈尔滨工业大学,,,化学学工程,1982,1999.0,
1.0,李亚栋,男,1964,11,安徽,116.129105,30.153746,,,,安徽师范大学,,,无机化学,1986,2011.0,
1.0,李永舫,男,1948,8,重庆,106.551556,29.563009,河南,115.071879,34.445656,,,,高分子化学,,,中国科学院化学学研究所
1.0,李玉良,男,1949,10,山东,120.382639,36.067082,山东,119.755597,36.382595,北京化学工学院二系大学,,,无机化学,1975,,中国科学院化学学研究所
1.0,梁敬魁,男,1931,4,福建,119.296494,26.074507,,,,厦门大学,,,物理化学,1955,1993.0,中国科学院物理研究所
1.0,林国强,男,1943,3,上海,121.473701,31.230416,福建,119.384334,25.721143,上海科学技术大学,,,有机化学,1964,2001.0,中国科学院上海有机化学学研究所
1.0,刘若庄,男,1925,5,北京,116.407526,39.90403,,,,北京辅仁大学,,,物理化学,1947,1999.0,
1.0,刘元方,男,1931,2,上海,121.473701,31.230416,浙江,121.71654,29.948998,燕京大学,,,核化学学与放射化学,1952,1991.0,
1.0,刘云圻,男,1949,2,江苏,120.277138,31.982751,江苏,120.277138,31.982751,南京大学,,,物理化学,1975,,中国科学院化学学研究所
1.0,刘忠范,男,1962,10,吉林,125.839574,44.151742,,,,长春工业大学,,,物理化学,1983,2011.0,
